CAI Type,Subcategory,Entity name,"NCES ID
(IPEDS or PSS school ID)",Entity number,CMS number,FRN,Location ID,Street address,City,State or territory,Zip code,Longitude,Latitude,Broadband Need,Broadband Availability
C,Job Training Center,Tri-Tech Skills Center,,,,,,5929 W. Metaline Avenue,Kennewick,WA,99336,-119.200862,46.21849401,,
C,Job Training Center,WaNIC Skills Center,,,,,,10416 SE Wolverine Way,Bellevue,WA,98004,-122.3325973,47.60743449,,
C,Job Training Center,WaNIC Skills Center,,,,,,"11605 132nd Ave NE, #108",Kirkland,WA,98034,-122.167,47.70462,,
C,Job Training Center,WaNIC Skills Center,,,,,,700 2nd Avenue SE,Issaquah,WA,98027,-122.028713,47.52236401,,
C,Job Training Center,WaNIC Skills Center,,,,,,8651 Meadowbrook Way SE,Snoqualmie,WA,98065,-121.816886,47.52278101,,
C,Job Training Center,WaNIC Skills Center,,,,,,9100 SE 42nd Street,Mercer Island,WA,98040,-122.21723,47.571618,,
C,Job Training Center,WaNIC Skills Center,,,,,,9130 NE 180th,Bothell,WA,98011,-122.21915,47.761465,,
C,Job Training Center,Washington CASH,,,,,,"2100 24th Ave S, STE 380",Seattle,WA,98144,-122.3039657,47.15443438,,
C,Job Training Center,Washington Literacy,,,,,,200 Nickerson Street,Seattle,WA,98109,-122.353325,47.647918,,
C,Job Training Center,Wenatchee Valley Technical Skills Center,,,,,,327 E. Penny Rd.,Wenatchee,WA,98801,-119.9209043,46.26426395,,
C,Job Training Center,West Sound Technical Skills Center,,,,,,101 National Avenue N.,Bremerton,WA,98312,-122.2028837,47.75641338,,
C,Job Training Center,West Sound Technical Skills Center,,,,,,431 Water St.,Pt. Townsend,WA,98368,-122.75173,48.11615001,,
C,Job Training Center,Wilderness Technology Alliance,,,,,,2769 152nd Avenue Northeast,Redmond,WA,98052,-122.4719371,48.23530054,,
C,Job Training Center,WorkSource Kittitas County,,,,,,412 N Main St,Ellensburg,WA,98926,-120.5482703,46.9960203,,
C,Job Training Center,Yakama Nation Business Training and Technology Centers,,,,,,217 S Wapato Ave,Wapato,WA,98951,-120.419546,46.44623,,
C,Job Training Center,Yakima Valley Technical Skills Center,,,,,,1120 S. 18th Street,Yakima,WA,98901,-122.2460772,47.49703351,,
C,Job Training Center,Yakima Valley Technical Skills Center,,,,,,2606 W Nob Hill Blvd.,Yakima,WA,98902,-122.3087347,47.78570485,,
C,Job Training Center,Yakima Valley Technical Skills Center,,,,,,437 Barnard Blvd,Sunnyside,WA,98944,-119.988266,46.32520599,,
C,Senior Center,AARP Lakewood Volunteer Information Center,,,,,,6020 Main Street,Lakewood,WA,98499,-122.5182337,47.16111932,,
C,Senior Center,Aberdeen Senior Center,,,,,,208 W Market St,Aberdeen,WA,98520,-122.2859377,47.55785317,,
C,Senior Center,Aging and Adult Care of Central Washington,,,,,,50 Simon Street Southeast,East Wenatchee,WA,98802,-120.2881864,47.40482043,,
C,Senior Center,Aging and Adult Care of Central Washington 2,,,,,,1336 South Pioneer Way,Moses Lake,WA,98837,-122.329639,47.76393353,,
C,Senior Center,Airway Heights Recreation Center,,,,,,11405 W Deno Rd,Spokane,WA,99224,-122.3157541,47.75576923,,
C,Senior Center,American Indian Comm Ctr,,,,,,801 E 2nd Ave N,Spokane,WA,99202,-117.398581,47.654984,,
C,Senior Center,Anacortes Senior Center,,,,,,1701 22nd St,Anacortes,WA,98221,-117.3469195,47.66079557,,
C,Senior Center,Auburn Senior Activity Center,,,,,,808 9th St SE,Auburn,WA,98002,-122.217975,47.29973,,
C,Senior Center,Bainbridge Island Senior Community Center,,,,,,370 Brien Dr Se,Bainbridge Island,WA,98110,-122.3247832,48.46736722,,
C,Senior Center,Ballard NW Senior Activity Center ,,,,,,5429 32nd Ave NW,Seattle,WA,98107,-122.3986682,47.66837151,,
C,Senior Center,Battle Ground Senior Center,,,,,,116 NE 3rd Ave,Battle Ground,WA,98604,-122.279987,47.49117814,,
C,Senior Center,Beacon Senior Center,,,,,,415 S 13th St,Tacoma,WA,98409,-122.442156,47.251139,,
C,Senior Center,Bellingham Senior Activity Center,,,,,,315 Halleck St,Bellingham,WA,98225,-122.3344736,48.24667815,,
C,Senior Center,Black Diamond Senior Center,,,,,,31605 3rd Ave,Black Diamond,WA,98010,-119.1648768,46.83310186,,
C,Senior Center,Blaine Senior Center,,,,,,763 G St,Blaine,WA,98230,-122.741017,48.994698,,
C,Senior Center,Bonney Lake Senior Center,,,,,,19304 Bonney Lake Blvd E,Bonney Lake,WA,98391,-122.3368552,48.44125775,,
C,Senior Center,Bremerton Senior Citizens Center,,,,,,1140 Nipzic Ave,Bremerton,WA,98310,-122.611,47.57096,,
C,Senior Center,Brewster-Bridgeport-Pateros Senior Center,,,,,,109 S Bridge St,Brewster,WA,98812,-119.781,48.09881,,
C,Senior Center,Brinnon Community Center,,,,,,306144 Hwy 101,Brinnon,WA,98320,-122.2440081,47.87687438,,
C,Senior Center,Buckley Senior Center,,,,,,811 Main St,Buckley,WA,98321,-122.026748,47.162825,,
C,Senior Center,Burlington Senior Center,,,,,,1011 Greenleaf Avenue,Burlington,WA,98233,-122.480122,48.74499289,,
C,Senior Center,Camano Senior Center,,,,,,606 Arrowhead Road,Camano Island,WA,98282,-122.470188,48.234208,,
C,Senior Center,Camas Senior Center,,,,,,1718 SE 7th St,Camas,WA,98607,-120.5428904,46.58538669,,
C,Senior Center,Camwood Senior Center,,,,,,7430 276th St NW,Stanwood,WA,98292,-122.334133,48.246204,,
C,Senior Center,Carl Gipson Center,,,,,,3025 Lombard Ave,Everett,WA,98201,-122.0307612,47.52322654,,
C,Senior Center,Cashmere Senior Center,,,,,,120 Cottage Ave,Cashmere,WA,98815,-122.4612117,48.0037165,,
C,Senior Center,Cathlamet Senior Center,,,,,, PO Box 402 SW,Cathlamet,WA,98612,-118.9752982,48.13251037,,
C,Senior Center,Catholic Charities Eastern Washington,,,,,,12 E 5th Ave,Spokane,WA,99202,-119.2628009,47.11540705,,
C,Senior Center,Central Area Senior Center,,,,,,500 30th Ave S,Seattle,WA,98144,-122.2937714,47.59796686,,
C,Senior Center,Central Area Senior Center,,,,,,500 30th Ave S,Seattle,WA,98144,-122.293297,47.59749,,
C,Senior Center,Chehalis Tribal Center,,,,,,420 Howanut Rd,Oakville,WA,98568,-123.167822,46.815307,,
C,Senior Center,Chelan Senior Center,,,,,,534 Trow Avenue,Chelan,WA,98816,-120.009936,47.836866,,
C,Senior Center,Cheney Senior Citizens,,,,,,2219 North 6th Street,Cheney,WA,99004,-122.3152439,47.66504932,,
C,Senior Center,Chewelah Manor,,,,,,30 E Main,Chewelah,WA,99109,-117.4081555,47.65052439,,
C,Senior Center,Clallam Bay/Sekiu Senior Center,,,,,,PO Box 264,Sekiu,WA,98381,-124.397803,48.288633,,
C,Senior Center,Columbia Club,,,,,, 424 Columbia St,Seattle,WA,98104,-122.4836421,47.21342648,,
C,Senior Center,Columbia County Senior Center,,,,,,403 E Patit St,Dayton,WA,99328,-117.979966,46.323479,,
C,Senior Center,Colville Indian Area Agency on Aging (AAA),,,,,,1 Colville Street,Nespelem,WA,99155,-118.9752982,48.13251037,,
C,Senior Center,Colville Indian Senior Center,,,,,,1 Colville Street,Nespelem,WA,99155,-122.778552,48.01358854,,
C,Senior Center,Colville Senior Center,,,,,,231 W Elep Avenue,Colville,WA,99114,-118.281245,46.0793018,,
C,Senior Center,Concrete Community Center,,,,,,45821 Railroad Ave,Concrete,WA,98237,-121.697178,48.508868,,
C,Senior Center,Corbin Senior Activity Center,,,,,,827 W Cleveland Ave,Spokane,WA,99205,-117.424822,47.68373,,
C,Senior Center,Coulee City Senior Center,,,,,,520 W Douglas St,Coulee City,WA,99115,-119.295469,47.610049,,
C,Senior Center,Davenport Senior Center,,,,,,728 Morgan St,Davenport,WA,99122,-118.151988,47.65426,,
C,Senior Center,Deer Park Senior Center,,,,,,1124 W. Sinto Ave,Deer Park,WA,99201,-117.429,47.67037,,
C,Senior Center,Des Moines Senior Center,,,,,,2045 S 216th St,Des Moines,WA,98198,-122.2012825,47.67547179,,
C,Senior Center,East Central Community Ctr,,,,,,500 S Stone,Spokane,WA,99202,-117.37754,47.651216,,
C,Senior Center,East County Senior Center,,,,,,276 Sky River Parkway,Monroe,WA,98272,-122.9607044,46.71649763,,
C,Senior Center,Eatonville Senior Center,,,,,,305 West Center Street,Eatonville,WA,98328,-122.3494446,47.65046429,,
C,Senior Center,Elderhealth Northwest,,,,,,800 Jefferson ST,Seattle,WA,98104,-122.3253284,47.60490832,,
C,Senior Center,Ellensburg Adult Activity Center,,,,,, 506 S Pine St,Ellensburg,WA,98926,-122.1300462,48.82378034,,
C,Senior Center,Elma Senior Center,,,,,,100 Main St.,Elma,WA,98541,-123.401,47.00465,,
C,Senior Center,Entiat Senior Center,,,,,,1920 Entiat Way,Entiat,WA,98822,-122.5702718,47.85279009,,
C,Senior Center,Enumclaw Senior Center,,,,,,1350 Cole St,Enumclaw,WA,98022,-122.1695933,47.19173691,,
C,Senior Center,Ephrata Senior Center,,,,,,124 C Street NW,Ephrata,WA,98823,-122.0849003,47.91192518,,
C,Senior Center,Everson Senior Center,,,,,,111 W Main Street,Everson,WA,98247,-123.6010984,46.98005363,,
C,Senior Center,Federal Way Senior Center,,,,,,4016 S 352nd St,Auburn,WA,98001,-122.284093,47.286891,,
C,Senior Center,Ferndale Senior Center,,,,,,1999 Cherry St,Ferndale,WA,98248,-117.1796709,46.72887793,,
C,Senior Center,Fife Senior/Community Center,,,,,,2111 54th Ave E,Fife,WA,98424,-117.9798128,46.32339415,,
C,Senior Center,Fircrest Senior Club,,,,,,555 Contra Costa,Fircrest,WA,98466,-122.512274,47.233661,,
C,Senior Center,Forks Senior Center,,,,,,651 E Division St,Forks,WA,98331,-124.377799,47.950525,,
C,Senior Center,Gig Harbor Senior Center,,,,,,6509 38th Ave,Gig Harbor,WA,98335,-122.588495,47.317641,,
C,Senior Center,Good Neighbors Senior Center,,,,,,885 Ocean Shores Blvd Nw ,Ocean Shores,WA,98569,-124.165207,47.0164,,
